epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,9608.27,0.93219,0.64996,1.0607,0.78077,0.64223,0.72477,0.49048,1.07445,0.77245,1.16087,0.000400048,0.000400048,0.000400048
65,9758.13,0.93406,0.63703,1.06171,0.76006,0.68823,0.74187,0.50212,1.06493,0.75268,1.1543,0.000393176,0.000393176,0.000393176
66,9908.2,0.92947,0.63811,1.05194,0.76391,0.65613,0.73339,0.49804,1.07874,0.76036,1.16179,0.000386304,0.000386304,0.000386304
67,10058.1,0.92593,0.63307,1.05939,0.77841,0.65027,0.7307,0.49133,1.0793,0.77759,1.16294,0.000379431,0.000379431,0.000379431
68,10208.1,0.91435,0.62424,1.0526,0.7604,0.67202,0.73245,0.50014,1.07098,0.76434,1.15865,0.000372559,0.000372559,0.000372559
69,10358.1,0.89269,0.6085,1.04662,0.77077,0.66215,0.73837,0.50121,1.06806,0.75207,1.16009,0.000365687,0.000365687,0.000365687
70,10508.2,0.8946,0.60472,1.04785,0.77491,0.67917,0.74761,0.51076,1.05913,0.74392,1.15481,0.000358815,0.000358815,0.000358815
71,10658.3,0.89068,0.60218,1.04165,0.79961,0.67889,0.74792,0.50652,1.06791,0.74777,1.15861,0.000351942,0.000351942,0.000351942
72,10808.2,0.88653,0.60024,1.03827,0.76311,0.66698,0.73829,0.50186,1.06441,0.7617,1.16553,0.00034507,0.00034507,0.00034507
73,10957.9,0.88125,0.58499,1.03871,0.78508,0.67232,0.74918,0.50628,1.07125,0.75163,1.15874,0.000338198,0.000338198,0.000338198
74,11107.8,0.87676,0.59431,1.03445,0.77381,0.68415,0.75078,0.50887,1.07181,0.74441,1.16354,0.000331326,0.000331326,0.000331326
75,11257.7,0.89469,0.62759,1.04902,0.78974,0.66071,0.75048,0.51154,1.05841,0.7348,1.15891,0.000324453,0.000324453,0.000324453
76,11407.8,0.87006,0.58234,1.03148,0.772,0.67505,0.74638,0.50725,1.05817,0.73681,1.16418,0.000317581,0.000317581,0.000317581
77,11557.6,0.86265,0.57203,1.03473,0.79538,0.65512,0.74676,0.50782,1.05779,0.74745,1.1565,0.000310709,0.000310709,0.000310709
78,11707.5,0.86736,0.57515,1.03057,0.79281,0.65112,0.73607,0.50476,1.04669,0.7338,1.14881,0.000303837,0.000303837,0.000303837
79,11857.3,0.84964,0.5767,1.01508,0.78899,0.66454,0.74514,0.50935,1.05671,0.73679,1.14412,0.000296964,0.000296964,0.000296964
80,12007.2,0.85419,0.55847,1.01319,0.76574,0.68124,0.74734,0.51375,1.05135,0.73402,1.14568,0.000290092,0.000290092,0.000290092
81,12157.2,0.85014,0.55544,1.02397,0.74719,0.68396,0.74455,0.50963,1.0492,0.73562,1.14387,0.00028322,0.00028322,0.00028322
82,12307.1,0.84837,0.55518,1.02197,0.77218,0.6926,0.75209,0.51578,1.0571,0.73251,1.15426,0.000276348,0.000276348,0.000276348
83,12457.1,0.84009,0.55167,1.01716,0.78235,0.6868,0.75189,0.51344,1.05352,0.7324,1.15314,0.000269475,0.000269475,0.000269475
84,12606.9,0.83546,0.5453,1.01086,0.79538,0.67436,0.75558,0.5218,1.04937,0.72539,1.15774,0.000262603,0.000262603,0.000262603
85,12756.9,0.84131,0.5418,1.01555,0.79862,0.66998,0.75587,0.51774,1.05324,0.72192,1.15841,0.000255731,0.000255731,0.000255731
86,12906.8,0.83523,0.54972,1.01836,0.78471,0.67044,0.75011,0.51304,1.05395,0.73003,1.15546,0.000248859,0.000248859,0.000248859
87,13056.5,0.83594,0.53783,1.01237,0.7984,0.67149,0.75544,0.5183,1.04502,0.72519,1.15056,0.000241986,0.000241986,0.000241986
88,13206.5,0.82564,0.55218,1.00671,0.76158,0.68996,0.75238,0.51896,1.03927,0.73071,1.14853,0.000235114,0.000235114,0.000235114
89,13356.4,0.80955,0.52179,0.99656,0.80032,0.66481,0.75241,0.52078,1.04378,0.72301,1.15109,0.000228242,0.000228242,0.000228242
90,13506.2,0.81607,0.5274,1.00136,0.79511,0.67604,0.75674,0.52115,1.04609,0.7227,1.15136,0.00022137,0.00022137,0.00022137
91,13655.9,0.80588,0.51566,0.99863,0.79431,0.68665,0.75884,0.52303,1.04615,0.71055,1.15201,0.000214497,0.000214497,0.000214497
92,13805.8,0.80598,0.51407,0.9987,0.78351,0.68509,0.75246,0.5179,1.04285,0.71668,1.15377,0.000207625,0.000207625,0.000207625
93,13955.5,0.80555,0.51546,0.99354,0.8147,0.67106,0.75872,0.51994,1.04523,0.72685,1.15073,0.000200753,0.000200753,0.000200753
94,14105.4,0.78546,0.49586,0.98338,0.7895,0.67717,0.75558,0.51998,1.04278,0.72295,1.15105,0.000193881,0.000193881,0.000193881
95,14255.1,0.78246,0.49638,0.98536,0.82137,0.65415,0.75168,0.52044,1.04397,0.71811,1.16074,0.000187008,0.000187008,0.000187008
96,14404.9,0.79092,0.502,0.98666,0.78733,0.69237,0.75577,0.52492,1.03117,0.71217,1.14974,0.000180136,0.000180136,0.000180136
97,14554.7,0.77463,0.4879,0.9837,0.80474,0.6813,0.75968,0.52617,1.03735,0.71602,1.15429,0.000173264,0.000173264,0.000173264
